Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,19313,19429.4,19221.5,19429.4,19429.4,72600
2020-04-24,19331.9,19352.2,19175.4,19262,19262,84700
2020-04-27,19410.8,19819.1,19410.2,19783.2,19783.2,77600
2020-04-28,19776.2,19841.8,19638.5,19771.2,19771.2,68600
2020-04-30,20105.7,20365.9,20084.8,20193.7,20193.7,103400
2020-05-01,19992,20000.2,19551.7,19619.3,19619.3,86600
2020-05-07,19468.5,19720.9,19448.9,19674.8,19674.8,82900
2020-05-08,19972.1,20179.1,19894.6,20179.1,20179.1,82200
2020-05-11,20333.7,20534.9,20285,20390.7,20390.7,76200
2020-05-12,20413.2,20457.4,20294,20366.5,20366.5,67700
2020-05-13,20140.9,20329.9,20056.5,20267.1,20267.1,79500
2020-05-14,20140.5,20185,19902.9,19914.8,19914.8,76900
2020-05-15,20149.8,20198.2,19832.9,20037.5,20037.5,75200
2020-05-18,20097.6,20197.6,19999.1,20133.7,20133.7,71900
2020-05-19,20469.5,20659.5,20433.4,20433.4,20433.4,93000
2020-05-20,20454.5,20684.5,20454,20595.2,20595.2,71800
2020-05-21,20692.6,20734.9,20503.9,20552.3,20552.3,62900
2020-05-22,20583.9,20615.1,20335,20388.2,20388.2,71100
2020-05-25,20653.4,20741.7,20584.1,20741.7,20741.7,55100
2020-05-26,20928,21328.3,20918.1,21271.2,21271.2,87200
2020-05-27,21249.3,21475.7,21142.7,21419.2,21419.2,112000
2020-05-28,21612.9,21926.3,21580.5,21916.3,21916.3,134000
2020-05-29,21807.6,21955.4,21710.8,21877.9,21877.9,153200
2020-06-01,21910.9,22161.4,21899,22062.4,22062.4,72200
2020-06-02,22175.5,22401.8,22118.4,22325.6,22325.6,77900
2020-06-03,22649,22818.9,22462.7,22613.8,22613.8,94100
2020-06-04,22885.1,22907.9,22501.8,22695.7,22695.7,92000
2020-06-05,22613.1,22865.9,22563.6,22863.7,22863.7,85600
2020-06-08,23122,23178.1,23028.6,23178.1,23178.1,108500
2020-06-09,23135.8,23185.8,22933.1,23091,23091,91500
2020-06-10,22939,23175.8,22900.3,23124.9,23124.9,75600
2020-06-11,22848,22939.4,22466.5,22472.9,22472.9,105900
2020-06-12,22082.1,22350.3,21786.9,22305.5,22305.5,120500
2020-06-15,22135.3,22251.8,21529.8,21530.9,21530.9,78500
2020-06-16,21912.3,22624.1,21899.5,22582.2,22582.2,100100
2020-06-17,22517.1,22536.4,22318.1,22455.8,22455.8,72500
2020-06-18,22363.9,22432.2,22125.3,22355.5,22355.5,65200
2020-06-19,22515.8,22523.7,22352.2,22478.8,22478.8,97000
2020-06-22,22353.7,22575.7,22311.9,22437.3,22437.3,54600
2020-06-23,22636.1,22693.9,22257.1,22549.1,22549.1,0
2020-06-24,22541,22663.3,22479.9,22534.3,22534.3,67000
2020-06-25,22287.9,22423.4,22165.1,22259.8,22259.8,80800
2020-06-26,22424.4,22589.1,22408.3,22512.1,22512.1,66600
2020-06-29,22255.1,22281.4,21969.6,21995,21995,73700
2020-06-30,22335.1,22448.3,22273.4,22288.1,22288.1,74200
2020-07-01,22338.3,22360.3,22039.6,22121.7,22121.7,67400
2020-07-02,22182.7,22267.5,22072.1,22146,22146,73600
2020-07-03,22266.9,22312.4,22155,22306.5,22306.5,51700
2020-07-06,22341.3,22734.1,22325.8,22714.4,22714.4,58000
2020-07-07,22649.9,22742.3,22540.4,22614.7,22614.7,62700
2020-07-08,22481.6,22667.9,22438.7,22438.7,22438.7,64900
2020-07-09,22442.3,22679.1,22434.4,22529.3,22529.3,65200
2020-07-10,22535,22563.7,22285.1,22290.8,22290.8,78800
2020-07-13,22591.8,22784.7,22561.5,22784.7,22784.7,71200
2020-07-14,22631.9,22677,22538.8,22587,22587,61000
2020-07-15,22817.9,22965.6,22800.1,22945.5,22945.5,72600
2020-07-16,22908,22925.9,22739.4,22770.4,22770.4,89400
2020-07-17,22807.6,22857.8,22643.5,22696.4,22696.4,55900
2020-07-20,22772.1,22788.5,22580.2,22717.5,22717.5,50000
2020-07-21,22789.4,22925.6,22780.2,22884.2,22884.2,68600
2020-07-22,22791.8,22855.3,22732.9,22751.6,22751.6,65400
2020-07-27,22495.9,22741.1,22429.6,22715.8,22715.8,71800
2020-07-28,22735,22842.2,22646.2,22657.4,22657.4,67800
2020-07-29,22543.9,22584.9,22366.3,22397.1,22397.1,74300
2020-07-30,22489.2,22506.6,22334.7,22339.2,22339.2,77800
2020-07-31,22267.6,22295.1,21710,21710,21710,106600
2020-08-03,21947.6,22214.6,21919.8,22195.4,22195.4,84000
2020-08-04,22379.7,22603.8,22379.7,22573.7,22573.7,89100
2020-08-05,22479.7,22554.2,22356.2,22514.8,22514.8,74000
2020-08-06,22471.7,22587.8,22362.9,22418.2,22418.2,62600
2020-08-07,22433.8,22436.2,22204.6,22329.9,22329.9,66700
2020-08-11,22505.5,22760.9,22497.1,22750.2,22750.2,99300
2020-08-12,22747.4,22874.4,22670.7,22844,22844,90800
2020-08-13,23123.4,23316.7,23111.5,23249.6,23249.6,84800
2020-08-14,23323.9,23338.8,23222.8,23289.4,23289.4,59800
2020-08-17,23189.5,23248.8,23068.5,23096.8,23096.8,43600
2020-08-18,23097.8,23128.2,22948.9,23051.1,23051.1,55600
2020-08-19,22997.9,23149.8,22953.6,23110.6,23110.6,50100
2020-08-20,23003.6,23078.4,22851.8,22880.6,22880.6,50200
2020-08-21,23022.8,23135.4,22920.3,22920.3,22920.3,51200
2020-08-24,22913.2,23012.7,22862.5,22985.5,22985.5,40600
2020-08-25,23242.7,23431,23225.4,23296.8,23296.8,75300
2020-08-26,23257.1,23348.8,23203,23290.9,23290.9,47800
2020-08-27,23311,23323.1,23177.8,23208.9,23208.9,52700
2020-08-28,23232.3,23376.1,22594.8,22882.7,22882.7,98100
2020-08-31,23147.1,23342.3,23102.6,23139.8,23139.8,81000
2020-09-01,23089.6,23206.7,23047.8,23138.1,23138.1,59600
2020-09-02,23261.1,23287.4,23170.8,23247.2,23247.2,52600
2020-09-03,23524.5,23580.5,23426.1,23465.5,23465.5,57500
2020-09-04,23130.3,23257.7,23098.8,23205.4,23205.4,59300
2020-09-07,23145.5,23218.2,23086.9,23089.9,23089.9,57300
2020-09-08,23188.8,23277.7,23129.7,23274.1,23274.1,62100
2020-09-09,22966.9,23059,22878.7,23032.5,23032.5,84400
2020-09-10,23193.5,23250.3,23134,23235.5,23235.5,67600
2020-09-11,23114.6,23412.9,23114.6,23406.5,23406.5,76900
2020-09-14,23431.2,23582.2,23429.4,23559.3,23559.3,65400
2020-09-15,23438.8,23477.9,23351.3,23454.9,23454.9,61800
2020-09-16,23425.2,23506.4,23397.4,23475.5,23475.5,63000
2020-09-17,23416.6,23446.4,23272.2,23319.4,23319.4,61100
2020-09-18,23321.2,23398.5,23290.2,23360.3,23360.3,82600
2020-09-23,23245.9,23370.1,23154.4,23346.5,23346.5,77000
2020-09-24,23215,23234.7,23039.5,23087.8,23087.8,70500
2020-09-25,23217.3,23272.7,23154.7,23204.6,23204.6,72200
2020-09-28,23392,23516,23303,23511.6,23511.6,82000
